x ft rt rb rv rl ht hv hb hl 
3.311311214825914395e-01 9.121792886527864408e-02 1.445687821869441891e-01 1.438427876985666487e-01 4.925145825119298798e-02 4.791990718410855249e-02 1.073730208409389028e-20 1.076436430636283552e-20 2.601584186135445092e-20 2.637481650316586349e-20
3.388441561392029344e-01 9.334266737820395843e-02 1.443169177379313162e-01 1.435579065042134617e-01 4.921628226433137632e-02 4.782388186389700119e-02 1.074664991539650796e-20 1.077502200244222076e-20 2.602509475565384705e-20 2.640123903847141620e-20
3.467368504525319972e-01 9.551689740890945135e-02 1.440535754340467878e-01 1.432601056057580258e-01 4.917945847891191935e-02 4.772352254152802120e-02 1.075645231008257680e-20 1.078619937375046100e-20 2.603479748010194911e-20 2.642894510414815743e-20
3.548133892335758599e-01 9.774177176293677438e-02 1.437782516586798010e-01 1.429488242402749409e-01 4.914091022750188137e-02 4.761864313928562686e-02 1.076673163095363895e-20 1.079792218473233366e-20 2.604497151323259066e-20 2.645799785334389494e-20
3.630780547701017436e-01 1.000184700981181091e-01 1.434904225851729165e-01 1.426234797527613229e-01 4.910055732922407462e-02 4.750905051957386022e-02 1.077751142616619071e-20 1.081021757873996525e-20 2.605563946604291238e-20 2.648846376897137826e-20
3.715352290971729587e-01 1.023481995500463981e-01 1.431895435530447236e-01 1.422834669869892377e-01 4.905831593387469797e-02 4.739454431040377586e-02 1.078881649488917714e-20 1.082311415614705881e-20 2.606682513905610541e-20 2.652041284719082297e-20
3.801893963205616456e-01 1.047321953721147142e-01 1.428750484452548652e-01 1.419281576851287585e-01 4.901409836041459300e-02 4.727491673740663591e-02 1.080067295734638538e-20 1.083664205783217622e-20 2.607855358297808146e-20 2.655391879277383686e-20
3.890451449942810558e-01 1.071717215904638143e-01 1.425463490688693158e-01 1.415568999014674700e-01 4.896781292896026927e-02 4.714995246329743706e-02 1.081310832957380170e-20 1.085083305437350114e-20 2.609085116335200929e-20 2.658905922735295488e-20
3.981071705534977578e-01 1.096680716741856160e-01 1.422028345420410234e-01 1.411690174336272252e-01 4.891936378581850098e-02 4.701942843685977952e-02 1.082615160324383611e-20 1.086572064142481546e-20 2.610374562952658224e-20 2.662591591136232123e-20
4.073802778041132333e-01 1.122225692211376302e-01 1.418438706910817304e-01 1.407638092766024807e-01 4.886865072206832833e-02 4.688311375311361023e-02 1.083983333092252000e-20 1.088134014172964015e-20 2.611726618802208662e-20 2.666457498072008019e-20
4.168693834703359191e-01 1.148365686597319774e-01 1.414687994612033595e-01 1.403405491047610976e-01 4.881556898496253183e-02 4.674076952688178271e-02 1.085418571718437464e-20 1.089772881430314419e-20 2.613144358073152014e-20 2.670512719928984476e-20
4.265795188015932271e-01 1.175114559670714237e-01 1.410769383454261172e-01 1.398984847875424098e-01 4.876000908235601089e-02 4.659214878211209027e-02 1.086924271603124554e-20 1.091492597136150097e-20 2.614631016817354207e-20 2.674766822827322911e-20
4.365158322401665458e-01 1.202486494038125797e-01 1.406675798363991037e-01 1.394368379458817142e-01 4.870185657987381039e-02 4.643699635942534487e-02 1.088504013511356810e-20 1.093297310360789977e-20 2.616190001817649455e-20 2.679229891382132928e-20
4.466835921509637042e-01 1.230496002661467109e-01 1.402399909064188654e-01 1.389548035563276940e-01 4.864099189054248151e-02 4.627504884472567054e-02 1.090161574730003543e-20 1.095191401457435965e-20 2.617824900040459111e-20 2.683912559423242986e-20
4.570881896148756285e-01 1.259157936552959545e-01 1.397934125217895618e-01 1.384515496107044663e-01 4.857729005715932108e-02 4.610603452215410181e-02 1.091900941018341868e-20 1.097179496478075304e-20 2.619539488702709030e-20 2.688826042817337863e-20
4.677351412871988412e-01 1.288487492649337818e-01 1.393270591979224315e-01 1.379262168407999478e-01 4.851062052692434179e-02 4.592967335442896260e-02 1.093726319418269287e-20 1.099266482651443020e-20 2.621337746007351278e-20 2.693982174564685293e-20
4.786300923226390336e-01 1.318500221869467470e-01 1.388401186025486345e-01 1.373779185171043193e-01 4.844084691845178259e-02 4.574567699470141052e-02 1.095642151995457547e-20 1.101457525016852587e-20 2.623223862590538918e-20 2.699393442334717634e-20
